Berkshire Road — GNK|South|Allenwood Road
Bernard Street — PTW|Both|Port Washington Boulevard
Bernard Street — PTW|West|South Maryland Avenue
Berry Place — ALB[Added 7-20-2004 by Ord. No. T.O. 23-2004]|North|Plainfield Road
Berry Place — ALB[Added 7-20-2004 by Ord. No. T.O. 23-2004]|South|Willow Place
Bethel Road — ALB|Both|Dorset Avenue
Bethel Road — ALB|Both|Hampton Avenue
Bethel Road — ALB|West|Willis Avenue
Betty Road — GCP[Added 3-3-1998 by Ord. No. T.O. 6-1998]|Southwest|Marcus Avenue
Betty Road — NHP|North|Birchwood Drive
Beverly Drive — ALB|Both|Deepdale Parkway
Beverly Drive — ALB[Added 3-4-2008 by Ord. No. T.O. 5-2008]|East|Willis Avenue
Beverly Road — PTW|Both|Beacon Hill Road
Beverly Road — PTW|Both|Longview Road
Birch Drive — ALB|Both|Dogwood Road
Birch Drive — MHH|North|Old Courthouse Road
Birch Drive — MHH[Added 3-31-2009 by Ord. No. T.O. 13-2009]|West|Larch Drive
Birch Hill — SRT|South|Dogwood Road
Birch Lane — NNH|Both|Oak Drive
Birch Street — GNK[Amended 3-23-1999 by Ord. No. T.O. 9-1999]|Both|Forest Avenue
Birch Street — GNK|South|Station Road
Birch Street — PTW|Both|Fairview Avenue
Birch Street — PTW[Added 5-6-2008 by Ord. No. T.O. 15-2008]|Both|Highland Avenue
Birch Street — PTW|Both|Park Avenue
Birchwood Drive — NHP|Both|Brussel Drive
Birchwood Drive — NHP[Added 8-5-1997 by Ord. No. T.O. 24-1997]|East|Betty Road
Birchwood Drive — NHP|East|Herricks Road
Birchwood Drive — NHP[Added 8-5-1997 by Ord. No. T.O. 24-1997]|East|Kate Drive
Birchwood Drive — NHP[Added 8-5-1997 by Ord. No. T.O. 24-1997]|West|Joseph Road
Birchwood Lane — HRK|North|Park Circle West
Bixley Drive — GCP|North|Devonshire Drive
Bly Court — NHP|North|Kamda Boulevard
Bly Court — NHP|South|Maple Drive West
Bogart Avenue — PTW|Both|Elm Street
Bogart Avenue — PTW|Both|Old Hills Lane
Bogart Avenue — PTW|Both|Orchard Street
Bogart Avenue — PTW|West|Ridge Drive
Bolton Road — GCP[Added 4-24-2001 by Ord. No. T.O. 13-2001]|East|Marcus Avenue
Bond Street — NCS|Both|Summa Avenue
Bond Street — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|South|Broadway
Bond Street — NCS|South|Main Street
Bond Street — NCS/WBY[Added 5-13-2014 by Ord. No. T.O. 6-2014]|North|Prospect Avenue
Bond Street — NCS/WBY[Added 5-13-2014 by Ord. No. T.O. 6-2014]|South|Prospect Avenue
Branton Place — ALB|Both|Hampton Avenue
Branton Place — ALB|South|Dorset Avenue
Bretton Road — GCP|Both|Eighth Street
Bretton Road — GCP|South|Seventh Street
Bretton Road — NHP|North|Pubins Lane
Briarcliff Road — PTW[Added 9-21-1999 by Ord. No. T.O. 28-1999]|North|Luquer Road
Brinkerhoff Lane — MHT[Added 5-15-2001 by Ord. No. T.O. 17-2001]|Both|Second Street
Brinkerhoff Lane — MHT[Added 7-27-1999 by Ord. No. T.O. 24-1999]|South|Fourth Street
Brisbane Street — NHP|South|Bryant Avenue
Brisbane Street — NNH|Both|Sperry Boulevard
Broadway — CRL|Both|Cherry Lane
Broadway — CRL|Both|Rushmore Avenue
Broadway — CRL|Both|Silver Lake Boulevard
Broadway — CRL[Added 2-28-2006 by Ord. No. T.O. 6-2006]|Both|Stonehinge Lane
Broadway — CRL|East|Carle Road
Broadway — GCP[Added 9-30-1997 by Ord. No. T.O. 32-1997]|Both|Armstrong Road
Broadway — GCP|Both|Corbin Avenue
Broadway — GCP|Both|Hilton Avenue
Broadway — GCP|Both|Norton Avenue
Broadway — GCP[Added 9-30-1997 by Ord. No. T.O. 32-1997]|Both|Thorens Avenue
Broadway — GCP|East|Herricks Road
Broadway — GCP|West|Fifth Avenue
Broadway — GNK|Both|Jayson Avenue
Broadway — GNK|East|Tobin Avenue
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|Both|Brook Street
Broadway — NCS|Both|Elizabeth Street
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|Both|Garden Street
Broadway — NCS|Both|Grand Street
Broadway — NCS|Both|Monitor Street
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|Both|Sheridan Street
Broadway — NCS|Both|Swalm Street
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|Both|Sylvester Street
Broadway — NCS|Both|Urban Avenue
Broadway — NCS[Added 5-21-2019 by Ord. No. T.O. 17-2019]|East|Covert Street
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|East|Railroad Avenue
Broadway — NCS[Added 5-21-2019 by Ord. No. T.O. 17-2019]|West|Covert Street
Broadway — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|West|State Street
Broadway — NHP|Both|Leonard Boulevard
Broadway — NHP|North|Belmont Avenue
Brookbridge Road — GNK|Both|Country Place
Brookbridge Road — GNK|Both|Orchard Road
Brookbridge Road — GNK|Both|Woodland Place
Brook Court North — NHP[Added 6-10-1997 by Ord. No. T.O. 18-1997]|East|Cherrywood Drive
Brookfield Drive — MHH|West|Shelbourne Lane
Brooklyn Avenue — NCS|North|Park Avenue
Brooklyn Avenue — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|South|Broadway
Brooklyn Avenue — NCS|South|Main Street
Brooklyn Avenue — NCS/WBY[Added 5-13-2014 by Ord. No. T.O. 6-2014]|North|Prospect Avenue
Brooklyn Avenue — WBY/NCS[Added 8-11-2015 by Ord. No. T.O. 18-2015]|South|Park Avenue
Brooklyn Avenue — NCS/WBY[Added 5-13-2014 by Ord. No. T.O. 6-2014]|South|Prospect Avenue
Brook Street — NCS|Both|Broadway
Brook Street — NCS|Both|Roman Avenue
Brook Street — NCS[Added 2-15-2012 by Ord. No. T.O. 4-2012]|South|Railroad Avenue
Brook Street — NCS/WBY[Added 5-13-2014 by Ord. No. T.O. 6-2014]|North|Prospect Avenue
Browers Lane — RHT|North|Hickory Lane
Browers Lane — RHT|West|Hickory Lane
Brunswick Avenue — NHP|North|Lafayette Street
Brunswick Avenue — WLP|Both|Prospect Street
Brunswick Avenue — WLP|North|Lafayette Street
Brussel Drive — NHP|North|Devonshire Drive
Brussel Drive — NHP|South|Birchwood Drive
Bryant Avenue — FPC|Both|Barwick Street
Bryant Avenue — FPC|Both|McKee Street
Bryant Avenue — FPC|Both|Cherry Lane
Bryant Avenue — NHP|Both|Croyden Street
Bryant Avenue — NHP|Both|Sperry Boulevard
Bryant Avenue — NHP|East|Central Boulevard
Bryant Avenue — NHP|East|New Hyde Park Drive
Bryant Avenue — NHP|West|Kingston Street
Bryant Avenue — NHP[Added 5-15-2001 by Ord. No. T.O. 14-2001]|West|North Second Street
Bryant Avenue — NHP|West|North Sixth Street
Bryant Avenue — NNH|Both|Hillside Boulevard
Bryant Street — NCS|Both|Tennyson Avenue
Bryant Street — WBY[Added 9-21-1999 by Ord. No. T.O. 26-1999]|West|Longfellow Avenue
Burnham Avenue — RHT|Both|Willow Street
Burnham Avenue — RHT|North|Villa Street
Burnham Avenue — RHT|North|Warner Avenue
Burnham Avenue — RHT|South|Maple Street
Burnham Avenue — RHT|South|Villa Street
Buxton Road — GNK|Both|Picadilly Road
Byrd Avenue — CRL|Both|Landsdown Avenue
Byrd Avenue — CRL|Both|Wright Avenue
Stop Sign on|Direction of Travel|At Intersection of
* School crossing.
** Hinged-type sign.
Cambridge Lane — MHT|South|Bayview Avenue
Cambridge Road — GNK|Both|Picadilly Road
Cambridge Street — RHT|Both|Manor Avenue
Campbell Parkway — ALB|Both|Amherst Road
Campbell Parkway — ALB|Both|Hilldale Road
Campbell Parkway — ALB|North|I.U. Willets Road
Campbell Parkway — ALB|South|Argyle Road
Campbell Street — NHP|Both|Claudy Lane
Campbell Street — NHP|East|Patton Boulevard
Campbell Street — NNH|Both|Haddon Road
Campus Drive — PTW|West|Port Washington Boulevard
Canterbury Court — CRL[Added 8-30-2005 by Ord. No. T.O. 29-2005]|East|Cherry Lane
Cantiague Lane — NCS|Both|Schulz Street
Cantiague Lane — NCS|North|Robbins Lane
Cantiague Lane — NCS[Added 9-29-2009 by Ord. No. T.O. 24-2009]|Northwest|Amber Court
Cantiague Lane — NCS|South|Ridge Drive
Cantiague Lane — WBY|South|Cedar Road
Capi Lane — PTW|South|Yacht Club Drive
Capri Drive — SRT|South|Green Drive
Carle Place High School exit driveway — CRL|East|Cherry Lane
Carle Place Park north driveway — CRL|East|Carle Road
Carle Place Park south driveway — CRL|East|Carle Road
Carle Road — CRL*|Both|Harvard Street
Carle Road — CRL|Both|Magnolia Street
Carle Road — CRL|Both|Roosevelt Court
Carle Road — CRL|Both|Whitney Street
Carle Road — CRL|North|Asbury Avenue
Carle Road — CRL|South|Broadway
Carle Road — CRL[Added 4-4-2017 by Ord. No. T.O. 9-2017]|South|Earl Street
Carleton Street — NCS|Both|Oliver Avenue
Carleton Street — NCS[Added 10-21-1997 by Ord. No. T.O. 36-1997]|North|Grand Boulevard
Carleton Street — WBY|Both|Anna Avenue
Carling Drive — NHP|East|Edgewood Drive
Carlton Avenue — PTW|Both|Bayview Avenue
Carlton Avenue — PTW|Both|Murrey Avenue
Carlton Avenue — PTW*|Both|Prospect Avenue
Carlton Avenue — PTW[Added 7-20-2004 by Ord. No. T.O. 25-2004]|Both|Third Avenue
Carlton Avenue — PTW*|Both|Webster Avenue
Carlton Avenue — PTW|North|Main Street
Carlton Avenue — PTW|South|Reid Avenue
Carlyle Place — RHT|Both|Garden Street
Carlyle Place — RHT|Both|Willow Street
Carlyle Place — RHT[Added 10-16-2007 by Ord. No. T.O. 37-2007]|North|Miller Place
Carlyle Place — RHT|North|Warner Avenue
Carlyle Place — RHT[Added 10-16-2007 by Ord. No. T.O. 37-2007]|South|Forest Street
Carriage Lane — RHT[Added 9-21-1999 by Ord. No. T.O. 33-1999]|Both|Hayloft Lane (at its eastern end)
Carriage Lane — RHT[Added 9-21-1999 by Ord. No. T.O. 33-1999]|Both|Hayloft Lane (at its western end)
Carriage Lane — RHT|East|Locust Lane
Carriage Road — ALB|North|I.U. Willets Road
Cary Road — GNK|Both|Vista Hill Road
Cary Road — NHP|North|Herbert Drive
Cary Road — NHP|South|Birchwood Drive
Castle Ridge Road — MHT|Both|Mill Spring Road
Cedar Drive South — MHH|West|West Birch Drive
Cedar Road — NCS|East|Cantiague Lane
Cedar Road — NCS|Northwest|Orient Court
Cedar Road — NCS/WBY[Added 9-27-2005 by Ord. No. T.O. 33-2005]|Both|Pinetree Road
Cedar Road — NCS/WBY[Added 9-27-2005 by Ord. No. T.O. 33-2005]|Northwest|Amber Court
Cedar Road — WBY|Both|Hollow Court
Cedar Road — WBY|East|Orient Court
Cellar Avenue — NHP|Both|Evans Street
Cellar Avenue — NHP|Both|Lawrence Street
Cellar Avenue — NHP|North|Soma Street
"Center Drive — HRK[Added 9-6-2018 by Ord. No. T.O. 9-2018]<!--?Pub _bookmark Command=""[Quickmark]"" ?-->"|South|Pine Street
Center Street — NCS|Both|Grant Street
Center Street — NCS|East|Hicks Street
Center Street — NCS|West|School Street
Center Street — WLP|Both|Foch Boulevard
Center Street — WLP*|Both|Mayflower Avenue
Center Street — WLP[Added 3-4-2008 by Ord. No. T.O. 4-2008]|East|Center Street School Ingress Driveway (approximately 70 feet west of a point opposite the west curbline of Tulip Lane)
Center Street — WLP[Added 3-4-2008 by Ord. No. T.O. 4-2008]|West|Tulip Lane
Center Street School Egress Driveway (located approximately 160 feet west of the west curbline of Foch Boulevard) — WLP[Added 3-4-2008 by Ord. No. T.O. 4-2008]|North|Center Street
Center Street School Egress Driveway (located approximately 210 feet west of the west curbline of Foch Boulevard) — WLP[Added 3-4-2008 by Ord. No. T.O. 4-2008]|North|Center Street
Center Street School Egress Driveway (located opposite the west curbline of Tulip Lane) — WLP[Added 3-4-2008 by Ord. No. T.O. 4-2008]|North|Center Street
Central Avenue — GCP|Both|Fifth Street
Central Avenue — GCP[Added 5-2-2006 by Ord. No. T.O. 18-2006]|Both|First Street
Central Avenue — GCP|Both|Fourth Street
Central Avenue — GCP|Both|Second Street
Central Avenue — GCP|Both|Seventh Street
Central Avenue — GCP[Added 3-12-2002 by Ord. No. T.O. 13-2002]|Both|Sixth Street
Central Avenue — GCP|Both|Third Street
Central Avenue — GCP|North|Eighth Street
Central Boulevard — NHP|North|Bryant Avenue
Central Boulevard — NHP[Added 7-14-2009 by Ord. No. T.O. 19-2009]|South|Wilton Street
Central Court — CRL|North|Midtown Road
Central Court — CRL[Added 8-23-2016 by Ord. No. T.O. 24-2016]|South|Raff Avenue
Centre Drive — MHT|Both|East Drive
Centre Drive — MHT|East|Clapham Avenue
Centre Drive — MHT|West|West Drive
Centre Lane — GNK|Both|Upland Road
Chaffee Avenue — ALB|Both|Evans Avenue
Chaffee Avenue — ALB|Both|McKinley Avenue
Chaffee Avenue — ALB[Added 6-1-2004 by Ord. No. T.O. 17-2004]|North|I.U. Willets Road
Chapel Road — MHT[Added 1-26-2010 by Ord. No. T.O. 1-2010]|Both|Aldershot Lane
Chapel Road — MHT|Both|Mill Spring Road
Chapel Road — MHT[Added 5-6-2008 by Ord. No. T.O. 10-2008]|West|Vanderbilt Road
Charles Avenue — PTW[Added 12-13-2011 by Ord. No. T.O. 30-2011]|East|Charles Avenue
Charles Avenue — PTW|North|Harbor Road
Charles Street — PTW|East|Alison Street
Chelsea Drive — PTW|Both|Willow Drive
Cherry Brook Place North — GNK[Added 9-5-2019 by Ord. No. T.O. 29-2019]|West|Allen Drive
Cherry Lane — CRL|Both|Harvard Street
Cherry Lane — CRL[Added 9-17-1996 by Ord. No. T.O. 49-1996]|Both|Mineola Avenue
Cherry Lane — CRL*|Both|Whitney Street
Cherry Lane — CRL|Both|Wright Avenue
Cherry Lane — CRL|North|Asbury Avenue
Cherry Lane — CRL[Added 9-17-1996 by Ord. No. T.O. 49-1996]|North|Garden Avenue
Cherry Lane — CRL[Added 8-30-2005 by Ord. No. T.O. 29-2005]|South|Canterbury Court
Cherry Lane — CRL[Added 9-17-1996 by Ord. No. T.O. 49-1996]|South|Mallard Road
Cherry Lane School egress driveway — CRL[Added 8-30-2005 by Ord. No. T.O. 29-2005]|East|Cherry Lane
Cherry Lane School Egress Driveway — CRL[Added 7-24-2001 by Ord. No. T.O. 30-2001]|South|Roslyn Avenue
Cherry Lane — FPC|Both|White Avenue
Cherry Lane — FPC[Added 10-18-2011 by Ord. No. T.O. 24-2011]|Both|Whittier Avenue
Cherry Lane — WBY[Added 6-19-2007 by Ord. No. T.O. 20-2007]|Both|Webster Street
Cherry Lane — WBY[Added 6-19-2007 by Ord. No. T.O. 20-2007]|South|Southview Court
Cherrywood Drive — MHH|North|Old Courthouse Road
Cherrywood Drive — NHP[Added 6-10-1997 by Ord. No. T.O. 18-1997]|North|North Drive
Cherrywood Drive — NHP[Added 6-10-1997 by Ord. No. T.O. 18-1997]|South|Brook Court North
Cherrywood Lane — NNH|South|South Drive
Chestnut Street — GNV|East|Walnut Street
Chestnut Street — GNV[Added 2-24-2015 by Ord. No. T.O. 8-2015]|West|Glen Cove Road
Church Street — RHT|East|Roslyn Road
Circle Drive (southern end) — RHT[Added 11-14-2000 by Ord. No. T.O. 47-2000]|East|Colony Lane
Clair Street — GNK|Both|Jayson Avenue
Clapham Avenue — MHT[Added 10-19-2004 by Ord. No. T.O. 33-2004]|North|Ingress driveway of St. Mary's Parish parking lot, approximately 163 feet north of the north curbline of Second Street
Clapham Avenue — MHT[Added 10-19-2004 by Ord. No. T.O. 33-2004]|South|Ingress driveway of St. Mary's High School parking lot, approximately 193 feet south of the south curbline of Northern Boulevard
Clark Drive — GNK[Added 1-6-2004 by Ord. No. T.O. 3-2004]|Both|Grand View Avenue
Clark Drive — GNK|Both|Manor Place
Clark Drive — GNK|South|Cumberland Avenue
Clark Drive — MHT|Both|Summer Avenue
Claudy Lane — NHP|Both|Patton Boulevard
Claudy Lane — NNH|Both|Campbell Street
Clausen Place — NHP|East|North Third Street
Clausen Place — NHP|Southeast|Hillside Boulevard
Club Drive — RHT[Added 4-28-1998 by Ord. No. T.O. 17-1998]|Both|Field Lane
Club Drive — RHT[Added 4-28-1998 by Ord. No. T.O. 17-1998]|Both|Pebble Lane
Club Drive — RHT|North|Saddle Lane
Coachman Drive — ALB|North|I.U. Willets Road
Coachman Drive — ALB|South|Bridle Path
Colby Road — PTW[Added 8-10-2004 by Ord. No. T.O. 26-2004]|South|Salem Lane
Colonial Parkway — MHT|Both|Plandome Road
Colonial Parkway — MHT|East|Locust Place
Colonial Road — PTW[Added 1-24-2006 by Ord. No. T.O. 4-2006]|Both|Colby Road
Colonial Road — PTW|East|Plymouth Road
Colony Lane — RHT[Added 11-14-2000 by Ord. No. T.O. 47-2000]|Both|Circle Drive (southern end)
Colony Lane — RHT|South|Parkside Drive
Combes Drive — MHT[Added 1-2-2007 by Ord. No. T.O. 4-2007]|Northwest|Van Arsdale Place
Concord Avenue — GNK|Both|Highland Place
Concord Avenue — GNK|Both|Iowa Road
Concord Avenue — GNK|Both|Kensington Place
Concord Avenue — GNK|Both|Walden Avenue
Concord Avenue — GNK|Both|West End Drive
Concord Avenue — GNK|North|Pembroke Avenue
Continental Drive — MHH[Added 7-9-2019 by Ord. No. T.O. 23-2019]|East|Flag Lane
Continental Drive — NNH|Both|Valentine Drive
Continental Drive — NNH|North|Independence Drive
Continental Drive — NNH|South|Executive Drive
Conway Road — GCP|South|Seventh Street
Coolidge Avenue — RHT|North|Harding Avenue
Corbin Avenue — GCP|Both|Atlantic Avenue
Corbin Avenue — GCP|Both|Bedford Avenue
Corbin Avenue — GCP|Both|Broadway
Corbin Avenue — GCP|Both|Fulton Avenue
Corbin Avenue — GCP|Both|Park Avenue
Corncrib Lane — RHT|South|Locust Lane
Cornelia Avenue — GCP|Both|Broadway
Cornelia Avenue — GCP|Both|Fulton Avenue
Cornell Drive — GNK|Both|Wilwade Road
Corwin Avenue — NHP|Both|Terrace Boulevard
Corwin Avenue — NHP|East|Leonard Boulevard
Corwin Avenue — NHP[Added 3-12-2013 by Ord. No. T.O. 3-2013]|West|New Hyde Park Road
Costar Street — NCS|Both|Broadway
